question,A,B,C,D,E,answer
患者女，32 岁，平素月经常错后，此次停经半年，尿妊娠(-)。兼见小腹冷痛，四末不温，喜温喜按，舌淡暗，苔薄白，脉沉迟。治疗除主穴外，还应加用____,丰隆、阴陵泉,血海、太冲,脾俞、胃俞,命门、腰阳关,内关、膻中,D
治疗胸闷气短，心悸汗出，形寒肢厥，腰酸乏力，面色淡白，唇甲色淡，舌淡胖有齿痕，苔白润，脉沉细。治疗除主穴外，应配____,神阙、太冲,中脘、丰隆,心俞、至阳,气海、关元,膈俞、三阴交,D
患者发热，微恶风寒，汗出，鼻塞流黄涕，痰黄质稠，咽喉肿痛明显，口渴，苔黄，脉浮数。最佳针灸取穴处方是____,风门、肺俞、风池、大椎、太阳、列缺、合谷,大椎、风池、太阳、列缺、合谷、曲池、少商,身柱、大杼、风池、大椎、太阳、列缺、合谷,阴陵泉、委中、大椎、太阳、列缺、合谷,天突、肺俞、中府、列缺、合谷、大椎、曲池,B
一患者不易入睡，睡而易醒，兼见心悸健忘，头晕目眩，纳差神疲，面色无华，舌淡苔薄白，脉细数。治疗除主穴外，还应配伍____,心俞、脾俞,心俞、肾俞,心俞、胆俞,公孙、足三里,丰隆、内庭,A
患儿男，5 岁。白天小便频而量少，夜晚睡中遗尿，劳累后加重，面白无华，少气懒言，食欲不振，大便稀溏，舌淡苔白，脉细无力。应选取的主穴为____,百会、神门、中极、膀胱俞,中极、阴陵泉、阳陵泉、行间,关元、中极、膀胱俞、三阴交,脾俞、肾俞、次髎、足三里,中极、关元、气海、血海,C
患者女，58 岁。头昏神疲，四肢乏力，唇甲色淡，舌淡苔薄白，脉细弱。最佳针灸处方是____,百会、风池、中脘、丰隆、阴陵泉、太冲、内关,百会、风池、肾俞、肝俞、脾俞、气海、足三里,百会、风池、悬钟、太溪、足三里、肾俞、肝俞,百会、风池、曲池、合谷、太冲、三阴交、行间,百会、风池、曲池、肾俞、肝俞、合谷、太冲,B
患者发热恶寒，无汗，嗽咳喷嚏，痰白涕清，头痛，肢体酸楚，舌淡苔薄白，脉浮紧。最佳针灸取穴处方是____,太渊、少商、风池、大椎、太阳、列缺、合谷,风门、肺俞、太阳、列缺、合谷、风池、大椎,身柱、大杼、风池、大椎、太阳、列缺、合谷,阴陵泉、委中、大椎、太阳、列缺、合谷、风池,天突、肺俞、中府、列缺、合谷、大椎、曲池,B
颈部和腰部扭伤，除取主穴外，还应加用的穴位是____,夹脊穴,太阳经穴,督脉穴位,少阳经穴,任脉穴位,A
张某，男，60 岁，既往高血压、糖尿病病史，与人争吵后突发头痛、呕吐，左侧肢体偏瘫，无感觉障碍，血压 180/100mmHg。诊断首先考虑____,脑出血，右侧脑叶出血,脑出血，右侧壳核出血,脑出血，左侧颞叶沟回疝,蛛网膜下腔出血,脑出血，小脑扁桃体疝,B
治疗肾绞痛伴血尿者，宜加用____,委阳、阴陵泉,命门、关元,地机、血海,内关、足三里,水分、水道,C
患儿男，5 岁。白天小便频而量少，夜晚睡中遗尿，小便清长，素日神疲乏力，面色苍白，畏寒肢冷，舌淡苔白，脉沉迟无力。治疗除主穴外，还应加取____,百会、神门、太溪,气海、血海、肾俞,阳陵泉、行间、太冲,脾俞、肾俞、足三里,肾俞、命门、太溪,E
张某，男，12岁。夏季饮冷后出现腹痛泄泻，便质清稀，水谷相混，肠鸣腹胀，得温痛减，口不渴，舌淡，苔白滑，脉迟。治疗在主要穴位的基础上加用____,梁门、中脘,支沟、下脘,内庭、曲池,天枢、下脘,神阙、关元,E
刘某，男，72 岁。咳喘反复发作 20 余年，现喘促气短，动则喘甚，汗出肢冷，舌淡，脉沉细。最佳取穴方案是____,太渊、列缺、孔最、天突、三阴交、足三里,肺俞、风门、风池、风府、天突、列缺,鱼际、列缺、天突、风门、太渊、太溪,太渊、列缺、膏肓、太溪、肺俞、肾俞,太渊、太溪、太冲、太白、中府、天突,D
张某，女，13岁。经期不规则，此次经血大下，量多如崩，血色深红，质黏稠，气腥味重，兼见口干喜饮，舌红苔黄，脉滑数。治疗最佳取穴方案为____,关元、三阴交、隐白、公孙、血海、地机,关元、三阴交、血海、阴陵泉、合谷,关元、三阴交、肾俞、命门、腰阳关,关元、三阴交、地机、然谷、太溪、交信,关元、三阴交、阴陵泉、太冲、隐白,A
张某，男，78 岁。小便滴沥不爽 6 年，排出无力，小腹坠胀，平素气短神疲，纳差懒言，大便不成形，舌淡，苔白，脉细弱。治疗在主穴的基础上配伍____,曲池、委阳,肺俞、尺泽,阴谷、太溪,气海、足三里,肝俞、太冲,D
患者女，25 岁。产后泌乳量少质稀，乳房柔软无胀感，面色苍白，唇甲无华，神疲乏力，便溏，舌淡，苔薄白，脉虚细。除主穴乳根、膻中、少泽外，应加取____,太冲、内关,足三里、脾俞,肝俞、膈俞,中脘、天枢,期门、太冲,B
治疗经期下腹部疼痛剧烈，经行不畅，经色紫黑，有血块，经前伴乳房胀痛，舌有瘀斑，脉细弦。治疗除主穴外还应选取____,太冲、阳陵泉,列缺、归来,关元、气海,肝俞、肾俞,膏肓、志室,A
患者腹痛绵绵，时作时止，痛时喜温喜按，饥饿或劳累后加剧，得食或休息后痛减，神疲乏力，畏寒肢冷，舌淡苔白，脉沉细。最佳治法为____,温运脾阳、缓急止痛，以足阳明、足厥阴经及任脉穴为主,通调肠胃、行气导滞，以足阳明、足太阴及足太阳经穴为主,温经散寒、理气止痛，以足太阴、足阳明及任脉穴为主,活血化瘀、行气止痛，以足阳明、足厥阴经及任脉穴为主,清热导滞，行气止痛，以足厥阴、足阳明及足太阴经穴为主,A
张某，女，48岁，大便干结难解，腹胀善嗳，胸胁痞满，舌淡苔薄腻，脉弦。最佳取穴方案为____,天枢、神阙、脾俞、太白、足三里、上巨虚,天枢、气海、关元、上巨虚、脾俞、肾俞,天枢、水分、上巨虚、阴陵泉、下脘、梁门,天枢、大肠俞、支沟、上巨虚、中脘、太冲,天枢、中脘、归来、支沟、上巨虚、大肠俞,D
舌尖红而生点刺，往往提示____,心火炽盛,肝胆火盛,风热犯肺,胃肠热盛,肾阴虚火旺,A
舌嫩体胖而有齿痕属于____,气血两虚,阴虚内热,脾虚湿阻,邪热入营,痰热内阻,C
舌体强硬而苔厚腻属于____,痰蒙心神,湿阻心神,风痰阻络,心火亢盛,邪热炽盛,C
吐弄舌的主病是____,气血两虚,热扰心神,肝风内动,心脾有热,阴虚火旺,D
舌苔黄厚而腻，多为____,风寒表证,食滞,湿热,瘀血,津液亏虚,C
热渐盛而津渐伤在舌象上常有的变化是____,舌苔由白转黄,舌光无苔,舌苔由润变燥,舌苔由薄变厚,舌苔焦黑起裂,C
八纲作为辨证的主要内容，实际形成于____,《内经》,《伤寒论》,《景岳全书》,《医宗金鉴》,《伤寒质难》,A
表证最常见于____,太阳病证,上焦病证,皮肤浅表部位的病变,内伤杂病,外感病初期,E
有关表里证的说法中，不正确的是____,病位在皮毛、肌肉、经络、气血、息道者属表,病位在脏腑、精髓者属里,病位在经络有表里之分,病位在脏腑有表里之分,表证多见于外感病的初起阶段,C
病人先有恶寒发热，继而恶寒消失，反恶热，伴有口渴喜饮，舌红苔黄，脉洪数，证属____,表寒里热,风热犯肺,表里同病,寒证化热,表邪入里,E
辨寒热的意义是____,辨病因,辨病性,辨病位,辨邪正关系,辨标本缓急,B
下列属于寒证常见病因的是____,阳邪亢盛,暑邪亢盛,阴液亏损,阳气亏损,风热袭表,D
两颧潮红，见于____,虚阳上越,阳虚发热,阴虚内热,阳明实热,心火亢盛,C
阳虚与气虚的主要区别是____,有无神疲乏力,有无少气懒言,寒象是否明显,舌质是否淡嫩,小便是否清长,C
“寒包火”证属于____,表实寒里虚热证,表实寒里实热证,表虚寒里实热证,表虚寒里虚热证,表里俱寒证,B
表虚，主要是指____,风热表虚证,伤风表虚证,有汗之表证,卫表不固证,太阳中风证,D
某些疾病容易出现证候真假的阶段是____,初期阶段,极期阶段,危重阶段,传变阶段,末期阶段,C
下列各项，不属于病性辨证内容的是____,辨六淫证候,辨津液证候,辨情志证候,辨卫气营血证,辨阴阳虚损证,D
阳虚可导致的病理变化，不包括的是____,气滞,血瘀,血热,水泛,痰饮,C
下列疼痛特点不属血瘀证的是____,刺痛,痛处固定不移,夜间疼痛加重,面色青紫,时轻时重,E
属于气滞临床表现的是____,面色萎黄,咽干盗汗,神疲乏力,舌淡胖,头胀痛多随情绪发生变化,E
大失血所致的气脱，称为____,阳气虚脱证,气不摄血证,亡阳证,血虚气脱证,气随血脱证,E
瘀血疼痛的特点是____,隐痛,窜痛,重痛,刺痛,胀痛,D
患者手足冷痛，月经延期，行经时少腹拘急疼痛，月经色紫暗有血块，脉沉弦迟，证属____,血瘀证,血寒证,血虚证,气滞血瘀证,血热证,B
饮停胸胁，症见胸胁饱满，咳嗽时牵引作痛，此属____,痰饮,支饮,悬饮,溢饮,腹水,C
下列各项，不属于脾病中常见症状的是____,腹胀腹痛,出血,浮肿,泄泻,恶心嗳气,E
胃脘冷痛喜按，吐清水，口淡不渴，舌淡嫩，脉沉迟无力，属于____,胃阳虚证,脾阳虚证,寒湿困脾证,寒滞胃肠证,食滞胃脘,A
但坐不得卧，卧则气逆属于____,肺胀咳喘或水气凌心,气血不足,肝风内动,肾不纳气,中气下陷,A
心气虚、心阳虚、心血虚、心阴虚四证的共同临床表现是____,心痛,心烦,失眠,健忘,心悸,E
诊断心阴虚证，与心悸同见，最有意义的是____,头晕,面白,健忘,失眠,舌红少苔,E
痰火扰神证中，与神昏同见的是____,溲赤便秘,渴喜冷饮,舌红苔黄腻,高热抽搐,脉象细数,C
心气虚证与心阳虚证最主要的共见症状是____,面白神疲,脉细无力,舌质淡白,形寒肢冷,心悸气短,E
燥邪犯肺证与肺阴虚证的共同症状是____,微恶风寒,潮热盗汗,两颧潮红,干咳少痰,脉浮紧,D
风寒犯肺证与风热犯肺证的共同特点是____,咳嗽气喘,鼻流清涕,身痛无汗,咳痰稀白,咽喉肿痛,A
下列各项，不属于痰热壅肺表现的是____,咳痰黄稠,鼻流清涕,气喘息粗,吐脓血痰,溲赤便秘,B
根据胁肋胃脘胀痛，嗳气易怒，吞酸嘈杂，情绪抑郁，饮食减少，苔薄黄，脉弦等症，可考虑为____,肝火上炎证,肝脾不调证,肝胃不和证,胆郁痰扰证,肝郁气滞证,C
脾气虚、脾阳虚、脾气下陷证的共同症状是____,便溏肢倦,肢体困重,脘腹坠胀,肢体浮肿,舌淡而胖,A
脾气虚、脾虚气陷、脾不统血的共同症状是____,纳差乏力,久泄不止,畏寒肢冷,头晕目眩,月经过多,A
脾病虚证的基础证型是____,脾虚气陷证,脾阳虚证,脾胃气虚证,脾气虚证,脾不统血证,D
下列对鉴别寒湿困脾证与湿热蕴脾证最有意义的是____,有无脘腹痞胀,有无纳呆呕恶,黄疸鲜明或晦暗,是否腹胀便溏,是否肢体困重,C
下列各项，不属于肝火上炎证与肝阳上亢证相同临床表现的是____,面红目赤,头晕目眩,腰膝酸软,急躁易怒,脉弦,C
诊断肝血不足的主要症状依据是____,舌淡脉细,面色淡白,头晕目眩,心悸耳鸣,肢麻筋挛,E
常见手足蠕动症状的证候是____,肝阳上亢证,血虚生风证,阴虚动风证,热极生风证,肝阳化风证,C
少腹冷痛，前阴坠胀疼痛，舌淡脉沉紧，其证候是____,肝胃不和证,寒滞肝脉证,肾阳虚证,寒凝胃肠证,胃肠气滞证,B
头晕目眩，面白无华，视物模糊，舌淡脉细，其证候是____,肝血虚证,心血虚证,心肝血虚证,心脾气血虚证,肝阴虚证,A
肺肾阴虚证的临床特征是____,头晕目眩，胸胁胀闷,干咳少痰，腰酸遗精,阴囊湿疹，外阴瘙痒,胁肋冷痛，声音嘶哑,形寒肢冷，舌淡脉弦,B
肝阳上亢证属于____,虚证,实证,热证,下虚上实证,里热证,D
经闭半年，伴见面色无华，头晕目眩，肌肉蠕动，舌淡脉细，最宜诊断为____,肝血虚证,心肝血虚证,肾精不足证,肝肾阴虚证,心脾两虚证,A
胃脘嘈杂，饥不欲食，口燥咽干，便干尿黄，舌红少津，脉细数，最宜诊断为____,胃热炽盛证,胃阴虚证,大肠热结证,肝火犯肺证,胃肠气滞证,B
咳喘，面白无华，乏力气短，纳少腹胀，咯痰清稀，舌淡脉弱，最宜诊断为____,寒痰阻肺证,脾肺气虚证,心肺气虚证,肺肾气虚证,肺气不足证,B
太阳蓄血证的主要临床特征是____,惊狂，坐卧不安,发狂，脐腹满痛,惊痫，时瘛疚,如狂，少腹急结,身黄，脉沉结,D
口苦，咽干，寒热往来，胸胁苦满，脉弦，其证候是____,太阳经证,太阳腑证,少阳病证,阳明经证,阳明腑证,C
少阴病人主要病理特征为____,心气衰弱,阴血不足,心肾虚衰,脾胃阳虚,肺肾两虚,C
少阴热化证的心烦不寐的病机是____,邪热内盛,肝阳上扰,水亏火旺,上热下寒,热结胃肠,C
下焦病症的病理实质是____,肾阳虚,肝阴虚,心阴虚,肝肾阴虚,心肾阳虚,D
伤寒两经或三经同时出现病证，称为____,循经传,越经传,合病,表里传,并病,C
卫分证的主要辨证依据是____,头身疼痛，鼻塞,咽喉肿痛，咳嗽,发热，微恶风寒,无汗或有汗,口微渴而咳嗽,C
属于绝汗的是____,亡阴之汗,黄汗,战汗,自汗,盗汗,A
在病势沉重之时，先见全身战栗抖动，而后汗出的称为____,亡阴之汗,黄汗,战汗,自汗,盗汗,C
两侧头痛属于____,太阳经,少阴经,阳明经,太阴经,少阳经,E
后头痛连项背属于____,太阳经,少阴经,阳明经,太阴经,少阳经,A
肾虚腰痛的特点为____,绵绵作痛，酸软无力,冷痛沉重，阴雨天加重,痛如针刺，固定不移,胀满疼痛,重痛，活动受限,A
肝气犯胃所致胃脘痛的特点为____,绵绵作痛，酸软无力,冷痛沉重，阴雨天加重,痛如针刺，固定不移,胀满疼痛,重痛，活动受限,D
自觉口中有苦味属于____,脾胃虚寒,饮食停滞,肝气郁结,肝胆火热,湿浊停滞,D
尿少而短赤，发热口渴属于____,湿热蕴结,热盛伤津,肾气虚弱,肝郁犯脾,气虚失运,B
小便之后点滴不尽属于____,湿热蕴结,热盛伤津,肾气虚弱,肝郁犯脾,气虚失运,C
大便秘结，发热腹痛属于____,热结肠道，热盛伤津,津液亏少，肠道失润,阴血不足，肠失濡润,气虚失运，传送无力,阳虚寒凝，气机滞塞,A
大便时干时稀属于____,脾气亏虚,肛门瘀血,肝郁脾虚,大肠湿热,肾虚命门火衰,C
瞪目直视属于____,脏腑精气将绝,风热毒邪上攻,太阳经绝证,寒湿水饮内停,肝胆火炽,A
病人两目上视，不能转动或兼项强抽搐，角弓反张属于____,脏腑精气将绝,风热毒邪上攻,肝风内动,寒湿水饮内停,肝胆湿热,C
四肢或某一肢体肌肉消瘦、萎缩，松软无力属于____,气血亏虚,邪气壅盛,寒湿内侵,先天不足，肾精不充,湿热侵淫,A
疮疡漫肿无头，部位较深，皮色不变，不热少痛者为____,痰核,痈,疥肿,红丝疔,阴疽,E
肺痈病人咳痰的特点是____,痰白清稀或有灰白点,痰黄黏稠有块,痰少而黏，难咯,脓血痰味腥臭,痰白滑量多，易咯,D
下列舌象主热盛伤津，气血壅滞的是____,淡红舌,红绛舌,青紫色,舌绛紫而干,舌红而燥,D
舌质苍老属于____,寒证,热证,实证,虚证,阴证,C
观察舌苔的润燥，主要了解____,湿浊的消长,邪气的深浅,津液的盈亏,疾病的进退,胃气的盛衰,C
舌红苔剥，多主____,血虚,阴虚,气虚,阳虚,胃气阴两虚,B
外感秽浊之气，热毒内盛可见____,白腻苔,黄腻苔,积粉苔,灰黑干燥苔,黑苔而滑,C
洪脉的脉象特征是____,浮大中空,浮而搏指,来盛去衰，滔滔满指,厥厥动摇,轻刀刮竹,C
自言自语，喃喃不休，见人语止，首尾不续，称为____,郑声,独语,狂言,谵语,错语,B
白喉咳嗽的特点是____,干咳,顿咳,咳声清脆,咳声重浊,咳如犬吠,E
顿咳的表现特点是____,咳声重浊,咳声低微,咳声紧闷,咳如犬吠,咳终止时作鹭鸶叫声,E
有关里证的临床表现中，不正确的是____,潮热,神昏烦躁,汗出口渴,关节酸痛,胸闷腹痛,D
风热犯肺证与肺热炽盛证最具区别的症状是____,发热口渴,气喘,咳嗽,咽喉肿痛,脉浮数,E
以下疾病均可引起腹泻，常表现为慢性腹泻的是____,伤寒,败血症,食物中毒,过敏性紫癜,肾上腺皮质功能减退症,E
可出现草莓舌的疾病是____,猩红热,缺铁性贫血,糙皮病,恶性贫血,核黄素缺乏,A
可出现与颈动脉搏动节律一致的点头运动的是____,颈椎病,帕金森病,三尖瓣关闭不全,严重的主动脉瓣关闭不全,二尖瓣狭窄,D
可引起触觉语颤减弱的疾病是____,压迫性肺不张,肺实变,肺内浅而大的空洞,肺癌,胸膜增厚粘连,E
胸骨左缘第 2 肋间可闻及连续性机器声样杂音，提示的疾病是____,主动脉瓣狭窄,主动脉瓣关闭不全,肺动脉瓣狭窄,肺动脉瓣关闭不全,动脉导管未闭,E
可引起第一心音增强的是____,主动脉瓣狭窄,二尖瓣关闭不全,主动脉瓣关闭不全,二尖瓣狭窄,左心功能不全,D
关于二度Ⅰ型房室传导阻滞的心电图特征，正确的是____,P-R间期进行性缩短,R-R间距进行性延长,固定的房室3:1传导,P-R间期进行性延长，伴QRS波脱漏,P-R间期恒定,D
头目胀痛多见于____,肝阳上亢,脾胃湿热,肝肾阴虚,中气下降,外感风热,A
头晕而胀，烦躁易怒，舌红，脉弦数属于____,肝火上炎,肝阳上亢,肝肾阴虚,肝胆湿热,肝火犯胃,A
下列各项，不属于问诊的一般情况的是____,姓名,性别,年龄,婚况,收入,E
提示疾病发展的转折点的是____,自汗,盗汗,绝汗,冷汗,战汗,E
口干而但欲漱水而不欲咽属于____,血瘀证,湿热证,血分证,气分证,阴虚证,A
少神表现为____,神疲少气懒言,神志昏迷,肌肉大削,突然出现面红如妆,狂躁乱语,A
中气虚弱的表现是____,胖而能食,肥而食少,形瘦食多,形瘦食少,胃火亢盛,B
斑秃属于____,血虚受风,气血两虚,血虚化燥,肾虚,阴虚,A
阳热有余，蒸腾胃中腐浊邪气上升可形成____,白腻苔,积粉苔,黄腻苔,腐苔,黏腻苔,D
金实不鸣的原因为____,风寒犯肺,虚火灼肺,肺气不足,肺肾阴虚,燥邪犯肺,A
言语轻迟低微，欲言不能复言，为____,错语,谵语,独语,夺气,郑声,D
郑声的病机是____,心气大伤,热扰心神,中气大伤,痰火扰心,痰蒙心神,A
脉形宽大，来盛去衰是指____,洪脉,大脉,滑脉,实脉,濡脉,A
辨寒热真假的主要临床依据是____,面色,四肢温度,舌象,脉象,神志,C
头痛、头晕经久不愈，痛有定处，痛如针刺，健忘，舌紫暗者诊断为____,肝阳上亢,痰蒙心神,肝风内动,肝火上炎,瘀阻脑络,E
产生寒湿困脾证最常见的原因是____,久泄久痢,过食生冷,劳倦内伤,五更泄泻,身倦乏力,B
持续低热，五心烦热，神疲欲寐，形瘦口干，耳聋，脉虚细，其证候是____,气分证,营分证,血分证,气营两燔证,卫分证,C
下列关于咳嗽出现的时间与节律的描述，错误的是____,突发剧烈咳嗽应考虑气管异物,支气管肺癌表现为阵发性咳嗽,慢性左心衰竭多表现为夜间阵发性咳嗽,晨起咳嗽加剧伴咯痰多见于支气管扩张症,百日咳表现为持续性咳嗽,E
可出现病灶对侧半身感觉障碍、偏瘫、同向偏盲的感觉障碍类型是____,脑干型,皮质型,脊髓型,神经根型,内囊型,E
乳腺炎时常出现淋巴结肿大的部位是____,左锁骨上淋巴结,右锁骨上淋巴结,腋窝淋巴结,滑车上淋巴结,腹股沟淋巴结,C
下列可引起周围性发绀的疾病是____,喉头水肿,肺淤血,气胸,胸腔积液,右心衰竭,E
骨髓增生程度减低时，成熟红细胞与有核细胞的比值是____,1:1,10:1,20:1,50:1,200:1,D
胸片后前位示上肺野呈大片状密度增高阴影，下缘整齐，以水平裂为界，上缘模糊不清，在实变的阴影中间见到支气管征像。该患者最可能的 X 线诊断是____,支气管肺炎,大叶性肺炎,右上肺不张,肺结核,中心型肺癌,B
胃溃疡患者突感腹部剧痛、呕吐，查体腹部呈板状腹，有压痛及反跳痛，应首选的检查方法是____,卧位腹平片,立位腹平片,胸片,腹部 CT,腹部 MRI,B
下列属于体温调节中枢功能失调引起的发热的是____,白血病,急性溶血,药物热,甲状腺功能亢进,中暑,E
当内生肌酐清除率(Ccr)为 10～19ml/min，肾功能分期是____,肾功能正常,肾衰竭代偿期,肾衰竭失代偿期,肾衰竭期,肾衰竭终末期,D
大咯血是指一日咯血量____,大于 100ml,大于 200ml,大于 300ml,大于 400ml,大于 500ml,E
风湿性二尖瓣狭窄的杂音特点是____,心尖部收缩期吹风样杂音,心尖部舒张期隆隆样杂音,胸骨左缘第二肋间收缩期吹风样杂音,胸骨右缘第二肋间收缩期吹风样杂音,胸骨左缘三四肋间舒张期叹气样杂音,B
皮肤黏膜色素沉着最常见于____,肝硬化,肝癌晚期,肾上腺皮质功能减退症,肢端肥大症,疟疾,C
传染病的基本特征是____,有传染性、季节性、免疫性和病原体,有传染性、病原体、免疫性和流行性,有传染性、流行性、季节性和病原体,有传染性、免疫性、地方性和病原体,有传染性、流行性、地方性和免疫性,B
流行性出血热早期出现低血压，最主要的原因是____,继发细菌感染,小动脉痉挛,小血管通透性增加，大量血浆外渗,高热、汗出、呕吐所致血容量下降,严重腔道出血,C
HIV 感染的细胞主要是____,神经胶质细胞,单核细胞,B 淋巴细胞,CD4+T 淋巴细胞,直肠黏膜上皮细胞,D
以下属于“癌症性格”的心理特征是____,乐观,坚强,压抑,自信,固执,C
糖尿病患者最常见的情绪反应是____,兴奋,抑郁,躁狂,平静,愤怒,B
行为不良通常不包括____,酒瘾,抑郁,偏爱体育运动,贪食,厌食,C
下列属于“治未病”实践的道德原则的是____,以提高人民群众健康水平为目的,尊重和满足患者的心理需要,尽量节约患者的费用,实事求是，尊重科学,综合分析，切忌片面,A
病势危重，冷汗淋漓如水，面色苍白，肢冷脉微，属于____,盗汗,战汗,亡阳之汗,自汗,亡阴之汗,C
病势危重，汗热而黏如油，躁扰烦渴，肢细数疾，属于____,盗汗,战汗,亡阳之汗,自汗,亡阴之汗,E
眼睑颜面先肿，兼见面唇青紫、心悸气促、不能平卧者属于____,先天不足，肾精亏损,外感风邪，肺失宣降,脾肾阳衰，水湿泛溢,心肾阳衰，血行瘀阻，水气凌心,心阳不足，水气凌心,D
神识不清，语无伦次，声高有力，称为____,谵语,郑声,独语,错语,夺气,A
神识不清，语言重复，时断时续，语声低弱模糊，称为____,谵语,郑声,独语,错语,夺气,B
促脉的特征是____,脉来数而时一止，止无定数,脉来缓而时一止，止无定数,脉来一止，止有定数，良久方来,脉来急疾，一息七八至,脉形如豆，滑数有力,A
结脉的脉象是____,脉来数而时一止，止无定数,脉来缓而时一止，止无定数,脉来一止，止有定数，良久方来,脉来急疾，一息七八至,脉形如豆，滑数有力,B
口舌糜烂又见小便灼热涩痛的证候是____,心火亢盛证,肝阳上亢证,肝气郁结证,痰火扰心证,心血瘀阻证,A
可出现咳嗽伴大量脓痰的是____,肺炎球菌肺炎,支气管扩张症,肺癌,支气管哮喘,急性左心衰竭,B
可出现咳嗽伴咯铁锈色痰的是____,肺炎球菌肺炎,支气管扩张症,肺癌,支气管哮喘,急性左心衰竭,A
心界叩诊可呈“靴形”的是____,主动脉瓣关闭不全,二尖瓣狭窄,心包积液,缩窄性心包炎,肺气肿,A
心界叩诊可呈“梨形”的是____,主动脉瓣关闭不全,二尖瓣狭窄,心包积液,缩窄性心包炎,肺气肿,B
判断肾小球损害的敏感指标是____,内生肌酐清除率(Ccr)测定,血肌酐(Cr)测定,血尿素氮(BUN)测定,浓缩稀释试验,血清尿酸(UA)测定,A
反映远曲小管和集合管的重吸收功能的是____,内生肌酐清除率(Ccr)测定,血肌酐(Cr)测定,血尿素氮(BUN)测定,浓缩稀释试验,血清尿酸(UA)测定,D
输尿管结石患者腹痛的性质是____,钻顶样疼痛,剧烈刀割样疼痛,胀痛,烧灼样疼痛,绞痛,E
胆道蛔虫患者腹痛的性质是____,钻顶样疼痛,剧烈刀割样疼痛,胀痛,烧灼样疼痛,绞痛,A
大便隐血试验阳性，提示消化道出血量至少是____,5ml,30ml,60ml,100ml,120ml,A
出现柏油样便，提示消化道出血量至少是____,5ml,30ml,60ml,100ml,120ml,C
流感的主要传播途径是____,呼吸道传播,消化道传播,体液传播,皮肤黏膜接触传播,蚊虫媒介传播,A
伤寒的主要传播途径是____,呼吸道传播,消化道传播,体液传播,皮肤黏膜接触传播,蚊虫媒介传播,B
焦虑症的主要特征是____,没有原因地担忧未来,无法抑制地想一个问题或重复一个动作,不能客观地看待客观事物，对事物的评价非黑即白，且在两端摇摆，伴有知情意的不统一,不遵守社会规范,情绪低落、自我评价低，主动意识下降,A
强迫症的主要特征是____,没有原因地担忧未来,无法抑制地想一个问题或重复一个动作,不能客观地看待客观事物，对事物的评价非黑即白，且在两端摇摆，伴有知情意的不统一,不遵守社会规范,情绪低落、自我评价低，主动意识下降,B
医德评价中最普遍、最重要的一种方式是____,社会舆论,内心信念,传统习俗,慎独,自我批评,A
医德评价中体现出医务人员对医德义务的深刻认识和强烈责任感的是____,社会舆论,内心信念,传统习俗,慎独,自我批评,B
3. 骨髓增生活跃时，成熟红细胞与有核细胞的比值是____,1:1,10:1,20:1,50:1,200:1,C
4. 下列舌象主热盛伤津，气血壅滞的是____,淡红舌,红绛舌,青紫色,舌绛紫而干,舌红而燥,D
5. 可出现与颈动脉搏动节律一致的点头运动的是____,颈椎病,帕金森病,三尖瓣关闭不全,严重的主动脉瓣关闭不全,二尖瓣狭窄,D
6. 寒痰湿浊引起的咳嗽特点是____,咳声不扬,咳声清脆,咳声如犬吠,咳声低微,咳声重浊沉闷,E
可出现水肿伴脾肿大、蜘蛛痣的疾病是____,右心衰竭,肾病综合征,肝硬化,甲状腺功能减退症,原发性醛固酮增多症,C
下列不按甲类传染病管理的疾病是____,AIDS,肺炭疽,霍乱,SARS,鼠疫,A
以夜间阵发性呼吸困难为突出表现的是____,喉头水肿,右心衰竭,左心衰竭,支气管哮喘,胸腔积液,C
病人但坐不得卧，卧则气逆者为____,心阳不足，水气凌心,气郁化火，痰火扰心,肾不纳气,气血两虚,肝风内动,A
苔质地细腻致密，与舌体表面紧紧粘牢，刮之不去，属于____,腐苔,腻苔,糙苔,滑苔,润苔,B
目前我国流脑流行的主要菌群是____,A 群,B 群和 C 群,D 群,X 群和 Y 群,Z 群,A
卫生法所涉及民事责任的主要形式是____,赔偿损失,返还财产,停止侵害,恢复名誉,赔礼道歉,A
下列各项，不属于但头汗出的原因是____,头感风热，迫津外泄,风湿热邪交蒸,中焦湿热蕴结，湿郁热蒸,阴寒内盛，元气将脱,进食辛辣、热汤、饮酒,A
下列各项，不是心身疾病特点的是____,以躯体症状为主，有明确的病理生理过程,某种人格特征是疾病发生的易患因素,疾病的发生发展与心理社会因素有关,生物或躯体因素是某些心身疾病发病的基础，心理社会因素起“扳机”的作用,单纯的生物学治疗即能取得较好的效果,E
病人时时恐惧，焦虑不安，心悸气促，不敢独处一室，其病机是____,痰火扰乱心神,心胆气虚，心神失养,痰浊蒙闭心神,肝风挟痰上逆，阻闭清窍,精气大伤,B
流行性出血热的“三痛”是指____,头痛、眼眶痛和腰痛,头痛、关节痛和腰痛,头痛、腹痛和腰痛,头痛、全身痛和腰痛,头痛、腓肠肌痛和腰痛,A
苔黑而滑润多见于____,湿热郁蒸,阴虚火旺,热盛伤津,痰火内蕴,寒湿内盛,E
可闻及胸骨左缘第 3、4 肋间舒张期叹气样杂音的是____,主动脉瓣狭窄,主动脉瓣关闭不全,二尖瓣狭窄,二尖瓣关闭不全,三尖瓣狭窄,B
